song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
POWER,4:52,83.0,3.0,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,,My Beautiful Dark Twisted Fantasy,2010-11-22,13.0,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f,https://open.spotify.com/album/20r762YmB5HeofjMCiPMLv,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
'Till I Collapse,4:57,90.0,18.0,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,,The Eminem Show,2002-05-26,20.0,https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Numb / Encore,3:25,82.0,1.0,https://open.spotify.com/track/5sNESr6pQfIhL3krM8CtZn,https://p.scdn.co/mp3-preview/179460b966940328b3849f454c588d25c004755d?cid=57b733e352a843eab708ae2a3e3c30bc,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2004-11-30,6.0,https://i.scdn.co/image/ab67616d00001e027282412ad025c14f7039f516,https://open.spotify.com/album/4lhyg7YGQagE8FT8cZBqyw,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
Where The Hood At,4:46,76.0,3.0,https://open.spotify.com/track/6RUpJeXT6U4SPEafnr9Wr7,,Grand Champ,2003-01-01,23.0,https://i.scdn.co/image/ab67616d00001e02b6afa5d2bfa63cb0eaa386b1,https://open.spotify.com/album/0FeqrLI13XnYNY1s414uQd,DMX,https://open.spotify.com/artist/1HwM5zlC5qNWhJtM00yXzG
Ride to Glory,2:13,52.0,1.0,https://open.spotify.com/track/03eqdlquKzJQg9LYngD6HO,https://p.scdn.co/mp3-preview/d4a7faad05fd07454e50b67b8cd61c423eae5e2d?cid=57b733e352a843eab708ae2a3e3c30bc,Journey Beyond The Sky - ES028,2014-02-05,24.0,https://i.scdn.co/image/ab67616d00001e02fd974046342fed21af24dfbd,https://open.spotify.com/album/23FWluRqn2J7J4mtQ8dMvc,Epic Score,https://open.spotify.com/artist/4Kyb02r7dR3H1PH7pYkb8X
"Lose Yourself - From ""8 Mile"" Soundtrack",5:22,83.0,2.0,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1,,Just Lose It,2004-01-01,2.0,https://i.scdn.co/image/ab67616d00001e02b6ef2ebd34efb08cb76f6eec,https://open.spotify.com/album/1rfORa9iYmocEsnnZGMVC4,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
The Hatred,3:52,53.0,20.0,https://open.spotify.com/track/3ZLIezMN3Uca2cVwF7S5qp,https://p.scdn.co/mp3-preview/8d507b2cdb83dbe3f5f9ff37d6eee3cf24c1df0d?cid=57b733e352a843eab708ae2a3e3c30bc,Black Snow,2008-06-24,21.0,https://i.scdn.co/image/ab67616d00001e0250994e2ea31793873f2c2ee2,https://open.spotify.com/album/2QYYK8pcKfk4tf1FOtB1Sv,Snowgoons,https://open.spotify.com/artist/7cTfr9nU9kwlKrVxwghbxN
Can't Be Touched (feat. Mr. Magic & Trouble),3:34,78.0,2.0,https://open.spotify.com/track/3zmduBNsQ6BPDTZAkXzG5K,https://p.scdn.co/mp3-preview/1d5cc27f2d206a6a35ae0df4ba53d8e367b55bc6?cid=57b733e352a843eab708ae2a3e3c30bc,"Body Head Bangerz, Vol. 1",2004-10-26,16.0,https://i.scdn.co/image/ab67616d00001e02582f703c73240fe327aa05d6,https://open.spotify.com/album/5VcOoSq5hMQb3bNa0sBKOe,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Pistolvania,4:00,46.0,4.0,https://open.spotify.com/track/6m2MMzrZsQAeXx60cLpejB,https://p.scdn.co/mp3-preview/4f163ca487d5d935ebd48365713012428414acef?cid=57b733e352a843eab708ae2a3e3c30bc,Season of the Assassin,2010-06-21,21.0,https://i.scdn.co/image/ab67616d00001e0213ea9ad3563b7a2507b6c442,https://open.spotify.com/album/1ZB3v2FJtbPAqPwLBoV91I,Vinnie Paz,https://open.spotify.com/artist/3rExe3A3FzAmYDlQuvW2Wx
Without Me,4:50,93.0,10.0,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,,The Eminem Show,2002-05-26,20.0,https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
