name,followers,popularity,genres,image_url,external_url
Tech N9ne,2405445.0,76.0,"['hip hop', 'kansas city hip hop', 'pop rap']",https://i.scdn.co/image/ab67616100005174f2f6845f7e0187bb82cca89f,https://open.spotify.com/artist/6UBA15slIuadJ8h2lPRPos
Ice Cube,5432004.0,79.0,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",https://i.scdn.co/image/ab67616100005174650e79afafd00492e33d7b8c,https://open.spotify.com/artist/3Mcii5XWf6E0lrY3Uky4cA
Xzibit,1469234.0,71.0,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",https://i.scdn.co/image/ab67616100005174b04749391ab206764049c219,https://open.spotify.com/artist/4tujQJicOnuZRLiBFdp3Ou
N.W.A.,4055031.0,70.0,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",https://i.scdn.co/image/6c6c5456aa373c9cbf4f385c2dd69c4177e6e3fa,https://open.spotify.com/artist/4EnEZVjo3w1cwcQYePccay
T.I.,4131691.0,79.0,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/ab6761610000517412057d342f33c61b3768f2bc,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT
The Notorious B.I.G.,7441016.0,82.0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/9bb42de208edcb69653a8e7951fa93b13f598cdd,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb
Snoop Dogg,8030757.0,88.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",https://i.scdn.co/image/ab676161000051749a398209a4ef3360dce2dec4,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG
Ludacris,2353915.0,81.0,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/0515a0dfc9c25cd8290cc4be58abf6f66f21706a,https://open.spotify.com/artist/3ipn9JLAPI5GUEo4y4jcoi
G-Unit,1800237.0,66.0,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/883505d6cbdbbb54837b345a84722dc78764ab67,https://open.spotify.com/artist/6evKD5JWJON3qPBJtUEmtY
B.o.B,1955537.0,77.0,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",https://i.scdn.co/image/ab676161000051748c518d4a4e60eff246453b0a,https://open.spotify.com/artist/5ndkK3dpZLKtBklKjxNQwT
Logic,5667085.0,82.0,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/ab67616100005174c0f43abdba90d508842d7367,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L
Vasilis Kazoulis,15289.0,33.0,"['classic greek pop', 'classic greek rock', 'laiko']",https://i.scdn.co/image/ab67616d00001e0297499f48a22d0c46ce385b37,https://open.spotify.com/artist/0ASGRFJF9cw14fODQ93OqM
Filippos Pliatsikas,20124.0,38.0,['entehno'],https://i.scdn.co/image/ab67616d00001e02816ccb542656a4661597b4be,https://open.spotify.com/artist/4UivkNzFA9XPTr0coJ3x0y
Nikos Portokaloglou,41471.0,41.0,"['classic greek rock', 'entehno', 'greek indie']",https://i.scdn.co/image/ab676161000051745e95262fc351b392de024545,https://open.spotify.com/artist/38VfUvRpU0Tn6COM6AvMH0
Haris & Panos Katsimihas,38307.0,39.0,"['classic greek pop', 'classic greek rock', 'greek indie', 'laiko']",https://i.scdn.co/image/ab67616d00001e0260c0ede26764388bc51fa357,https://open.spotify.com/artist/2OVFX90h8lDzPZ5L5Mu0Vz
Endelehia,12764.0,31.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e02405cc9de1600ba1c63f5a767,https://open.spotify.com/artist/2OJRCdqITodqv1GMIxqG5l
Stamatis Kraounakis,21859.0,33.0,"['greek indie', 'laiko', 'rebetiko']",https://i.scdn.co/image/ab67616100005174e62518c05a61150bc5a1aed5,https://open.spotify.com/artist/4i1Ok9sZW1HyK0hQJJRKaK
Alkistis Protopsalti,59484.0,44.0,"['entehno', 'greek indie', 'greek pop', 'laiko']",https://i.scdn.co/image/ab67616100005174812bcb140b2b5d8631de7f15,https://open.spotify.com/artist/514w90CKIw9w84Zh3NSNyA
Thanos Mikroutsikos,28807.0,40.0,"['entehno', 'greek indie']",https://i.scdn.co/image/ab676161000051745c32d5c11074dccc57b73eb6,https://open.spotify.com/artist/5kCtqFosYREWHgWcpsgeAr
Giannis Miliokas,8833.0,32.0,['classic greek rock'],https://i.scdn.co/image/ab67616d00001e02df269c09cb756e96ee8c55b3,https://open.spotify.com/artist/0nYnGEECb74bc2xh9Y8LbU
Lavrentis Machairitsas,74994.0,47.0,"['classic greek rock', 'entehno', 'greek indie', 'greek pop', 'laiko']",https://i.scdn.co/image/ab6761610000517446a35c38d2bd7a723984a5b6,https://open.spotify.com/artist/5z7uDSNrMNmtg7eikmaaau
Arleta,24812.0,41.0,"['classic greek pop', 'classic greek rock', 'entehno', 'greek indie', 'laiko', 'neo kyma']",https://i.scdn.co/image/ab67616d00001e02512777e23cc6f1c2bb6e434c,https://open.spotify.com/artist/6KVMKVZCXarNNhwKxhjCmo
Ypogeia Revmata,23080.0,35.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616100005174c2a78c487fbe84f003546275,https://open.spotify.com/artist/4xbr3XX253Pyc7UiPCWEGh
Manolis Mitsias,18541.0,36.0,"['laiko', 'rebetiko']",https://i.scdn.co/image/ab676161000051742dbf4a2157a21a719385fe5e,https://open.spotify.com/artist/0iPmB3x32r1vp0nL4gsjMo
Orfeas Peridis,28053.0,37.0,"['entehno', 'laiko']",https://i.scdn.co/image/ab676161000051741e990188c076c538b28783e1,https://open.spotify.com/artist/2ZF1xGNHlKmoPQHhGI4sdS
Manolis Lidakis,13892.0,37.0,['laiko'],https://i.scdn.co/image/ab67616d00001e025959f71eed0d8172dcb9df26,https://open.spotify.com/artist/1g9oRHOADioiTom7aeC9rN
Nikos Papazoglou,48554.0,37.0,"['classic greek pop', 'entehno', 'laiko', 'rebetiko']",https://i.scdn.co/image/ab6761610000517477e48f8eac471d62349f846e,https://open.spotify.com/artist/2l9wrwzboV14ckBlHgeojZ
Nikos Karvelas,5765.0,32.0,"['classic greek pop', 'laiko']",https://i.scdn.co/image/ab67616d00001e02115276633e8b98c5feb99c99,https://open.spotify.com/artist/5gbEc3kKXtdYDdG8UYvgKR
Xilina Spathia,40865.0,40.0,"['classic greek rock', 'greek indie']",https://i.scdn.co/image/ab67616d00001e02785a6af2da9b8d96ac4dde0e,https://open.spotify.com/artist/2zsxq4xTSDddUsmf1GT6Wt
Nikos Ziogalas,7323.0,38.0,['classic greek rock'],https://i.scdn.co/image/ab67616d00001e026537ed757e94c56f96c55128,https://open.spotify.com/artist/41VO6F1Bl9jOBTCevwZmMR
Yiannis Kotsiras,69612.0,49.0,"['classic greek pop', 'classic greek rock', 'entehno', 'greek pop', 'laiko']",https://i.scdn.co/image/ab676161000051740243ca14650de26e420ff5a2,https://open.spotify.com/artist/6waWR57xXsgtWztHX1v8TB
SKIADARESES,8025.0,40.0,['greek indie'],https://i.scdn.co/image/ab67616d00001e0295d6b956b8c70c05828eeb76,https://open.spotify.com/artist/3ZUI362BbNMdNjI3GiGMPo
Yorgos Rous,4925.0,41.0,['greek indie'],https://i.scdn.co/image/ab6761610000517496332da09b349d2c0f9b0922,https://open.spotify.com/artist/28BigpvpUQr0WHhR7QzIep
Pavlos Sidiropoulos,37583.0,39.0,['classic greek rock'],https://i.scdn.co/image/ab67616d00001e023694d6787a3528df7987faa4,https://open.spotify.com/artist/5Z4mEhHsWHyS10omStJ81u
Κοινοί Θνητοί,11148.0,37.0,['greek underground rap'],https://i.scdn.co/image/ab676161000051744c4f8c2952c1fc505ba02cd1,https://open.spotify.com/artist/1KAJV608oYCNcdjJwMRuzZ
Ganja Rocks,3155.0,33.0,['greek underground rap'],https://i.scdn.co/image/ab67616d00001e0228800a127df6e6c59cda015f,https://open.spotify.com/artist/5xp1OHjCgn92f5JdNRn9yB
Eisvoleas,23123.0,38.0,['greek hip hop'],https://i.scdn.co/image/ab67616100005174e46cb913770bd360e980b824,https://open.spotify.com/artist/0qLu7eoKaRxK7MrwMCqFF1
Spiros Grammenos,6927.0,32.0,['greek indie'],https://i.scdn.co/image/ab67616d00001e028c3397fe848f463beb111057,https://open.spotify.com/artist/3R0jQDaLYWSGpsRc2aBkrj
Social Waste,18794.0,33.0,"['greek hip hop', 'greek indie', 'greek underground rap']",https://i.scdn.co/image/ab67616100005174698de14428e40f3ef1aecaee,https://open.spotify.com/artist/1tqVrFgrtKlnu2M3wQ98XL
Usurum,6424.0,34.0,['greek indie'],https://i.scdn.co/image/ab676161000051749ea3f3cce31139f7b8404da2,https://open.spotify.com/artist/2BKPOAa7Pt1qScJxFgEpPs
Rodes,4932.0,32.0,['greek indie'],https://i.scdn.co/image/ab67616d00001e02063ded3a1bbd16954d4c906d,https://open.spotify.com/artist/1pwttqZKsz7k2AmXFuMPkz
Βέβηλος,13408.0,37.0,['greek underground rap'],https://i.scdn.co/image/ab67616100005174f6a7f52caa78760c3ed5511e,https://open.spotify.com/artist/2paECBjEu5OjvT6tr5KQiL
Fivos Delivorias,30360.0,43.0,['entehno'],https://i.scdn.co/image/ab67616d00001e0223b1a7a9b33a560bec627f0c,https://open.spotify.com/artist/1e4ICc9TtOUGHrhS4LX59z
Maraveyas,64274.0,44.0,"['entehno', 'greek swing']",https://i.scdn.co/image/ab67616100005174d8b2d66ac8b5546b3e9a24c3,https://open.spotify.com/artist/5PBgnkHTjFwVM3eAhmh2EU
Marina Spanou,4435.0,31.0,[],https://i.scdn.co/image/ab6761610000517447d391b0bdb6bb78a50d1db2,https://open.spotify.com/artist/3CHVx21sE8rj1BnqRHukdz
Κόρε. Ύδρο.,7231.0,32.0,['greek indie'],https://i.scdn.co/image/ab676161000051745ccc0d8b1b4533e8e8eb36d5,https://open.spotify.com/artist/29fVAQGPYv364YjafzbcNh
